cue,present,congruent,audio,img1,img2,img3,img4,img5,img6,img7,img8
dolphin,0,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dolphin.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png
bee,1,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\monkey.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png
cat,0,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\goat.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png
wolf,0,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\wolf.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png
goat,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\goat.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png
bee,0,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\bird.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png
chicken,0,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dog.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png
bee,0,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\bird.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png
horse,1,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\goat.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png
dog,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dog.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png
