cue,present,congruent,audio,img1,img2,img3,img4,img5,img6,img7,img8
dolphin,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dolphin.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png
cow,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\cow.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png
bee,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\bee.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png
goat,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\goat.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png
dog,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dog.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png
wolf,0,0,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\bird.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png
cow,0,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\cow.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bird.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png
dolphin,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\dolphin.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\chicken.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png
wolf,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\wolf.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dog.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\goat.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png
wolf,1,1,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\audio\wolf.wav,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\wolf.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\lion.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\monkey.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\dolphin.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\horse.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\bee.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\pig.png,C:\Users\delia\OneDrive\Desktop\PROG201-Visual-Task\stimuli\visual\cow.png
